Country,fertility_total,educ_expected_yrs_f,hdi
Mauritius,1.41,12.77645302,0.8009999999999999
Mexico,2.129,12.97874069,0.7759999999999999
Mongolia,2.895,13.25112915,0.735
Montenegro,1.745,12.64217091,0.826
Morocco,2.415,10.41762161,0.68
Myanmar,2.154,9.829102516,0.579
Namibia,3.3960000000000004,9.723130226,0.645
Nepal,1.917,12.0131464,0.596
Netherlands,1.59,13.92983341,0.942
New Zealand,1.71,13.77946663,0.928
Nicaragua,2.404,11.10092926,0.659
Niger,6.912999999999999,5.059231758,0.391
Nigeria,5.3870000000000005,10.09999943,0.534
North Macedonia,1.496,11.08503532,0.77
Norway,1.56,13.67211056,0.956
Oman,2.888,13.10266685,0.813
Pakistan,3.51,8.687153816,0.552
Panama,2.461,10.88493347,0.812
Papua New Guinea,3.564,9.818692207,0.5489999999999999
Paraguay,2.4290000000000003,11.26677418,0.727
Peru,2.254,12.89012051,0.7709999999999999
Philippines,2.576,13.04763317,0.711
Poland,1.46,13.45503712,0.877
Portugal,1.42,13.82900047,0.86
Qatar,1.866,12.7883606,0.845
Romania,1.76,11.98094845,0.823
Russian Federation,1.579,13.68534756,0.823
Rwanda,4.044,6.980305195,0.54
Samoa,3.877,12.44684696,0.7090000000000001
Saudi Arabia,2.319,12.26758575,0.8540000000000001
Senegal,4.625,7.849748135,0.516
Serbia,1.49,13.49239731,0.8029999999999999
Seychelles,2.41,13.53542233,0.79
Sierra Leone,4.263,9.282006264,0.447
Singapore,1.14,13.90422153,0.936
Slovenia,1.61,13.71750641,0.912
Solomon Islands,4.4030000000000005,8.841700553999999,0.564
South Africa,2.405,10.11397743,0.7070000000000001
South Sudan,4.696000000000001,3.916237831,0.429
Spain,1.26,13.08606815,0.905
Sri Lanka,2.199,13.11488724,0.779
Sudan,4.407,6.943500996,0.506
Sweden,1.76,13.90402126,0.943
Switzerland,1.52,13.21845913,0.955
Tajikistan,3.585,10.43918705,0.6609999999999999
Thailand,1.525,12.644207000000002,0.772
Timor-Leste,4.023,10.87477875,0.599
Togo,4.32,9.123530388,0.51
Tonga,3.556,11.83284092,0.723
Tunisia,2.197,10.95233727,0.738
Turkey,2.069,11.99552917,0.8170000000000001
Ukraine,1.301,13.00567055,0.774
United Arab Emirates,1.413,13.1702652,0.889
United Kingdom,1.68,13.85765934,0.928
United States,1.7295,12.93639374,0.925
Uruguay,1.973,12.47761631,0.816
Uzbekistan,2.604,12.00484753,0.7170000000000001
Vanuatu,3.782,10.13373089,0.603
Zambia,4.633,8.745135307,0.5820000000000001
Zimbabwe,3.615,10.97491837,0.569
